region,metric,atlas,labels
EstimatedTotalIntraCranialVol,global,aseg,global-eTIV
CerebralWhiteMatterVol,global,aseg,global-CerebralWhiteMatterVol
TotalGrayVol,global,aseg,global-TotalGrayVol
SubCortGrayVol,global,aseg,global-SubCortGrayVol
WhiteSurfArea,global,aparc.a2009s,global-WhiteSurfArea
MeanThickness,global,aparc.a2009s,global-MeanThickness
CortexVol,global,aseg,global-CortexVol
Left-Lateral-Ventricle,vol,aseg,vol-Left-Lateral-Ventricle
Left-Inf-Lat-Vent,vol,aseg,vol-Left-Inf-Lat-Vent
Left-Cerebellum-White-Matter,vol,aseg,vol-Left-Cerebellum-White-Matter
Left-Cerebellum-Cortex,vol,aseg,vol-Left-Cerebellum-Cortex
Left-Thalamus-Proper,vol,aseg,vol-Left-Thalamus-Proper
Left-Caudate,vol,aseg,vol-Left-Caudate
Left-Putamen,vol,aseg,vol-Left-Putamen
Left-Pallidum,vol,aseg,vol-Left-Pallidum
3rd-Ventricle,vol,aseg,vol-3rd-Ventricle
4th-Ventricle,vol,aseg,vol-4th-Ventricle
Brain-Stem,vol,aseg,vol-Brain-Stem
Left-Hippocampus,vol,aseg,vol-Left-Hippocampus
Left-Amygdala,vol,aseg,vol-Left-Amygdala
CSF,vol,aseg,vol-CSF
Left-Accumbens-area,vol,aseg,vol-Left-Accumbens-area
Left-VentralDC,vol,aseg,vol-Left-VentralDC
Right-Lateral-Ventricle,vol,aseg,vol-Right-Lateral-Ventricle
Right-Inf-Lat-Vent,vol,aseg,vol-Right-Inf-Lat-Vent
Right-Cerebellum-White-Matter,vol,aseg,vol-Right-Cerebellum-White-Matter
Right-Cerebellum-Cortex,vol,aseg,vol-Right-Cerebellum-Cortex
Right-Thalamus-Proper,vol,aseg,vol-Right-Thalamus-Proper
Right-Caudate,vol,aseg,vol-Right-Caudate
Right-Putamen,vol,aseg,vol-Right-Putamen
Right-Pallidum,vol,aseg,vol-Right-Pallidum
Right-Hippocampus,vol,aseg,vol-Right-Hippocampus
Right-Amygdala,vol,aseg,vol-Right-Amygdala
Right-Accumbens-area,vol,aseg,vol-Right-Accumbens-area
Right-VentralDC,vol,aseg,vol-Right-VentralDC
CC_Posterior,vol,aseg,vol-CC_Posterior
CC_Mid_Posterior,vol,aseg,vol-CC_Mid_Posterior
CC_Central,vol,aseg,vol-CC_Central
CC_Mid_Anterior,vol,aseg,vol-CC_Mid_Anterior
CC_Anterior,vol,aseg,vol-CC_Anterior
G_and_S_frontomargin,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_and_S_frontomargin
G_and_S_occipital_inf,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_and_S_occipital_inf
G_and_S_paracentral,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_and_S_paracentral
G_and_S_subcentral,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_and_S_subcentral
G_and_S_transv_frontopol,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_and_S_transv_frontopol
G_and_S_cingul-Ant,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_and_S_cingul-Ant
G_and_S_cingul-Mid-Ant,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_and_S_cingul-Mid-Ant
G_and_S_cingul-Mid-Post,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_and_S_cingul-Mid-Post
G_cingul-Post-dorsal,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_cingul-Post-dorsal
G_cingul-Post-ventral,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_cingul-Post-ventral
G_cuneus,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_cuneus
G_front_inf-Opercular,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_front_inf-Opercular
G_front_inf-Orbital,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_front_inf-Orbital
G_front_inf-Triangul,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_front_inf-Triangul
G_front_middle,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_front_middle
G_front_sup,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_front_sup
G_Ins_lg_and_S_cent_ins,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_Ins_lg_and_S_cent_ins
G_insular_short,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_insular_short
G_occipital_middle,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_occipital_middle
G_occipital_sup,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_occipital_sup
G_oc-temp_lat-fusifor,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_oc-temp_lat-fusifor
G_oc-temp_med-Lingual,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_oc-temp_med-Lingual
G_oc-temp_med-Parahip,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_oc-temp_med-Parahip
G_orbital,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_orbital
G_pariet_inf-Angular,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_pariet_inf-Angular
G_pariet_inf-Supramar,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_pariet_inf-Supramar
G_parietal_sup,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_parietal_sup
G_postcentral,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_postcentral
G_precentral,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_precentral
G_precuneus,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_precuneus
G_rectus,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_rectus
G_subcallosal,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_subcallosal
G_temp_sup-G_T_transv,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_temp_sup-G_T_transv
G_temp_sup-Lateral,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_temp_sup-Lateral
G_temp_sup-Plan_polar,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_temp_sup-Plan_polar
G_temp_sup-Plan_tempo,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_temp_sup-Plan_tempo
G_temporal_inf,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_temporal_inf
G_temporal_middle,SurfArea,lh.aparc.a2009s,lh-SurfArea-G_temporal_middle
Lat_Fis-ant-Horizont,SurfArea,lh.aparc.a2009s,lh-SurfArea-Lat_Fis-ant-Horizont
Lat_Fis-ant-Vertical,SurfArea,lh.aparc.a2009s,lh-SurfArea-Lat_Fis-ant-Vertical
Lat_Fis-post,SurfArea,lh.aparc.a2009s,lh-SurfArea-Lat_Fis-post
Pole_occipital,SurfArea,lh.aparc.a2009s,lh-SurfArea-Pole_occipital
Pole_temporal,SurfArea,lh.aparc.a2009s,lh-SurfArea-Pole_temporal
S_calcarine,SurfArea,lh.aparc.a2009s,lh-SurfArea-S_calcarine
S_central,SurfArea,lh.aparc.a2009s,lh-SurfArea-S_central
S_cingul-Marginalis,SurfArea,lh.aparc.a2009s,lh-SurfArea-S_cingul-Marginalis
S_circular_insula_ant,SurfArea,lh.aparc.a2009s,lh-SurfArea-S_circular_insula_ant
S_circular_insula_inf,SurfArea,lh.aparc.a2009s,lh-SurfArea-S_circular_insula_inf
S_circular_insula_sup,SurfArea,lh.aparc.a2009s,lh-SurfArea-S_circular_insula_sup
S_collat_transv_ant,SurfArea,lh.aparc.a2009s,lh-SurfArea-S_collat_transv_ant
S_collat_transv_post,SurfArea,lh.aparc.a2009s,lh-SurfArea-S_collat_transv_post
S_front_inf,SurfArea,lh.aparc.a2009s,lh-SurfArea-S_front_inf
